Name,playerid,tot
Taylor Cole,11964,111.6
Hector Velazquez,19341,111.35000000000004
Josh Staumont,18335,110.79999999999998
Austin Brice,17237,110.0
Edinson Volquez,3990,109.0
Wyatt Mills,sa918372,109.0
Jake McGee,7550,108.6
Robert Stock,6576,108.10000000000001
Javy Guerra,7407,108.09999999999998
Brad Boxberger,10133,107.30000000000003
Eric Skoglund,16155,107.14999999999998
Cody Reed,15232,107.10000000000001
Chad Sobotka,17470,107.10000000000001
Reggie McClain,19311,106.30000000000001
Yohander Mendez,14391,106.3
Tyler Olson,14741,106.0
Tommy Milone,7608,105.80000000000001
Adbert Alzolay,17859,105.39999999999995
David Peterson,sa829588,104.70000000000003
Ryan Helsley,18138,104.10000000000001
Joey Wentz,sa917946,104.00000000000003
Ian Gibaut,17871,103.6
Austin Adams,13801,103.2
John Schreiber,20020,102.6
Jose Quijada,19200,101.7
Cole Irvin,19244,99.65000000000003
Burch Smith,12784,99.49999999999999
Luke Bard,14288,99.1
Jon Duplantier,19546,98.49999999999999
Edwin Jackson,1841,98.4
Cory Gearrin,7947,97.4
Jorge Lopez,14527,97.3
AJ Ramos,8350,97.19999999999999
Edgar Santana,17355,94.69999999999997
Jeanmar Gomez,9033,94.20000000000002
Phil Maton,18064,94.1
Brett Cecil,2660,93.79999999999998
James Bourque,16668,93.49999999999999
Kyle Kubat,sa827380,92.29999999999998
Jerry Blevins,7841,92.1
Justin Shafer,16132,91.99999999999997
Cody Anderson,12799,91.00000000000003
Yency Almonte,15068,90.99999999999997
Phillip Diehl,20030,90.5
Kyle McGowin,15071,90.00000000000003
Mike Morin,13442,89.79999999999998
Dario Agrazal,15821,88.80000000000004
Trevor Oaks,16468,88.69999999999997
Jose Ruiz,14552,88.40000000000002
Chi Chi Gonzalez,14663,88.29999999999998
Damon Jones,sa3004862,88.00000000000003
Jake Jewell,16958,87.3
Sal Romano,13690,86.0
Dillon Tate,17796,85.79999999999998
Nick Vincent,7555,85.4
Travis Lakins,18600,84.5
Tarik Skubal,sa3007593,83.50000000000006
David Hernandez,4259,83.0
Kyle Bird,16618,82.6
Jefry Rodriguez,17018,82.24999999999999
James Norwood,16440,82.20000000000002
Branden Kline,14101,81.5
Scott Alexander,10591,80.8
David Hess,16130,80.75000000000003
Trevor Richards,19309,80.49999999999999
Tommy Hunter,1157,80.4
Ariel Jurado,17030,78.80000000000004
Kyle Barraclough,13713,78.6
Trevor Hildenberger,17002,77.69999999999999
Allen Webster,3993,77.4
Michel Baez,20100,76.49999999999999
Edubray Ramos,16086,76.09999999999998
Ronald Bolanos,20041,76.00000000000003
Tyler Bashlor,15203,76.0
Nick Neidert,sa874797,75.90000000000003
Austin Davis,17117,75.49999999999999
Tyler Thornburg,10688,75.19999999999999
Zac Grotz,18256,73.89999999999999
Addison Reed,10586,72.4
Thyago Vieira,14510,72.0
Montana DuRapau,16768,71.89999999999999
James Hoyt,14605,71.89999999999999
Adam Warren,9029,71.79999999999998
Daniel Ponce de Leon,16110,71.19999999999999
Jharel Cotton,13654,70.89999999999999
Yacksel Rios,15007,70.4
Caleb Frare,14353,68.6
Ervin Santana,3200,67.60000000000002
Cy Sneed,16106,66.3
Tyler Kinley,18297,65.49999999999999
A.J. Minter,18655,65.39999999999999
Demarcus Evans,sa875783,65.10000000000001
Javier Guerra,17292,63.99999999999997
J. D. Hammer,19548,63.89999999999999
Genesis Cabrera,17490,61.39999999999999
Ryan Weber,10160,61.099999999999994
Joe Harvey,16459,61.099999999999994
T.J. Zeuch,19269,61.00000000000002
Zac Houston,sa874155,60.89999999999999
Brian Duensing,4064,60.20000000000001
Dillon Peters,18790,59.900000000000006
Parker Markel,12106,59.39999999999999
Cionel Perez,19614,58.8
Felix Pena,13403,56.10000000000001
Dovydas Neverauskas,11604,55.8
Jeffrey Springs,17677,55.8
Mike Dunn,9948,55.5
Kyle Dohy,sa3004861,55.0
Yennsy Diaz,20218,54.89999999999998
Richard Lovelady,19337,54.8
Austin Gomber,16561,54.7
Tom Hackimer,sa872726,54.3
Seth Elledge,sa3004011,53.8
Ruben Alaniz,10819,53.8
Geoff Hartlieb,19558,53.8
Dennis Santana,17878,53.7
Devin Williams,15816,52.8
Ian Anderson,sa917921,52.7
Nestor Cortes,17874,52.4
Bobby Wahl,14832,52.300000000000004
Austen Williams,16309,52.2
Drew Smith,17755,52.2
Jeremy Walker,19981,51.60000000000001
Adrian Morejon,20039,50.300000000000004
Paul Blackburn,14739,49.60000000000001
Sean Reid-Foley,17034,49.10000000000001
Taylor Hearn,18325,48.7
Sam Selman,13397,47.300000000000004
Gabe Speier,17170,47.2
Brandon Bielak,sa915815,47.10000000000001
Zac Lowther,sa915645,46.400000000000006
Cody Carroll,17664,45.99999999999999
JT Chargois,13767,45.699999999999996
Alex Vesia,sa3008070,45.699999999999996
Jake Newberry,15136,45.4
Sam Delaplane,sa3004222,44.699999999999996
Francis Martes,17303,44.699999999999996
Wes Parsons,14764,44.60000000000001
Drew Gagnon,12545,44.1
Alex Faedo,sa829855,43.90000000000002
Grant Holmes,sa828669,43.699999999999996
Anthony Banda,14706,43.699999999999996
Jose De Leon,15463,42.699999999999996
Eric Hanhold,18332,42.60000000000001
Jonathan Holder,16588,42.3
